,Company,PriceRs.,Day HighRs.
0,"
Shivansh Finserve
",6.65,6.95
1,"
Shivansh Finserve
",6.65,6.95
2,"
Shivansh Finserve
",6.65,6.95
3,"
Colab Platforms
",106.81,106.81
4,"
Dhanashree Electro.
",107.37,107.37
5,"
Rajasthan Tube Mfg
",248.00,248.60
6,"
Elitecon Internation
",364.55,364.55
7,"
Nagarjuna Agri Tech
",58.12,58.12
8,"
Kothari Indl. Corp
",218.15,218.15
9,"
Atvo Enterprises
",14.80,14.80
10,"
JA Finance
",109.45,109.45
11,"
Jyothi Infraventures
",178.15,178.15
12,"
Midwest Gold
",352.00,352.00
13,"
Kashyap Tele Medicin
",5.22,5.22
14,"
RSC International
",44.00,44.00
15,"
GHV Infra Projects
",340.55,340.55
16,"
Hira Automobiles
",169.60,169.60
17,"
Shivansh Finserve
",6.65,6.95
